,date,text
0,2020-06-23,"La delantera de Racing español está hace 20 días en Uruguay, no tuvo respuestas a nivel empresarial para conseguir apoyo y está en busca de empleo antes de pegar la vuelta https://t.co/8lrIBhfdFI"
1,2020-06-23,"@eduardoyeyati @eschargr Claro. Pero en la historia del Estado de Bienestar Europeo, el seguro de desempleo fue una concesión a los sindicatos. Me parece claro que incluso en países con sindicatos fuertes (Escandinavia, uruguay más cerca) el seguro de desempleo funciona mejor para empresas Y trabajadores"
2,2020-06-23,"Nuevas ofertas laborales!!!
Pasos para postularse:

1 - Regístrate GRATIS en https://t.co/DX0MwO1lzy
2 - Crea tu currículo en la Red
3 - Busca la oferta laboral y postúlate

#empleo #uruguay https://t.co/lu37eANww3"
3,2020-06-23,"Uruguay en recesión con problemas de desempleo, pobreza y la pandemia. 
Oposición: los audios de la vicepresidenta!!! 😡😡😡"
4,2020-06-23,"@McDonalds_Ar @AngeldebritoOk Por estas cosas es que Uruguay esta mejor, sistema salud, sistema seguro desempleo, y conviccion gral, que esto es una pandemia y es responsabilidad de todos no solo gob, ya dejen de pelear y pongansen las pilas maduren Argentinos, dejen la chiquita, es para todos"
5,2020-06-22,"La delantera de Racing español está hace 20 días en Uruguay, no tuvo respuestas a nivel empresarial para conseguir apoyo y está en busca de empleo antes de pegar la vuelta.

https://t.co/INzL9wWTuI"
6,2020-06-22,"La delantera de Racing español está hace 20 días en Uruguay, no tuvo respuestas a nivel empresarial para conseguir apoyo y está en busca de empleo antes de pegar la vuelta       https://t.co/8lrIBhfdFI"
7,2020-06-22,"La delantera de Racing español Yamila Badell está hace 20 días en Uruguay, no tuvo respuestas a nivel empresarial para conseguir apoyo y está en busca de empleo antes de pegar la vuelta.

https://t.co/INzL9wWTuI"
8,2020-06-22,"@ToroBostero @Sebaas_MS @mendezagustinam El artículo muestra la brecha en 2018 en Uruguay,en 2019 la brecha es del 21,8% entre hombre y mujeres, en muchos casos, el mismo empleo, la mujer más formada que un hombre gana menos. Este % quiere decir que la mujer en 2019 trabajo 79 días sin salario. 

https://t.co/0tOOwRjxrO"
9,2020-06-22,"@majogm Hola, querida, soy de Uruguay y aquí nuestro gobierno lo manejó de otra manera.  Comprendo tu gran preocupación, pienso en los que trabajan por su cuenta, pagando local, inversión, la angustia del empleado que ve peligrar su empleo.  Hay que cuidarse pero vivir."
10,2020-06-22,"La delantera de Racing español está hace 20 días en Uruguay, no tuvo respuestas a nivel empresarial para conseguir apoyo y está en busca de empleo antes de pegar la vuelta   https://t.co/8lrIBhfdFI"
11,2020-06-22,PEPE MUJICA SOBRE EL TEMA UPM BOTNIA DIJO QUE ESTA A FAVOR DE QUE HAYA EMPLEO Y TRABAJO-  EN URUGUAY PERO ENCONTRA DE CUALQUIER CONTAMINACION @LuisLacallePou https://t.co/xomvBw4JAL
12,2020-06-22,"@gerardoseveric @MeLaSecaTodo @CostaRIvo @malepichot Chile, Uruguay, Brasil, Paraguay y Bolivia están en la misma región contame genio en numeros porcentajes, cuanto cayó la economía en esos paises, en cuanto vario el tipo de cambió y en cuanto aumentó el desempleo y lo comparamos."
