,date,text
0,2020-07-06,"@estupidonio No,... él vive en una realidad alterna, en un mundo feliz donde se le alaba y se cree el Salvador de un  México donde ya no hay muerte, crisis, desempleo, corrupción... Menudo putazo lo volverá a la realidad!!!!"
1,2020-07-05,"@JeanineAnez Escuche a su Pueblo Presidenta no hay respuesta de su Autoridad a lo siguiente :
*Destitución* Ministro Educacion y Sr. Tejada, 
*AFP*
*Destitución Salvador Romero TSE*
*Crédito* directo al ciudadano común y el gobierno Garante, el Plan de Empleo es solo a Empresas."
2,2020-07-05,"Saben porqué considero que la cuarentena focalizada o cordon sanitario es la mejor opcion hablando economicamente, por qué El salvador no estaria preparado para una fenómeno de desempleo aun mayor del que ya esta presente, lo que traeria mayor problemas a cp, mp y lp."
3,2020-07-05,@GorgSam23 @alimontoya75 @FrancescaRivasA Es que estos creen que El Salvador esta dentro de una burbuja y que los altos niveles de desempleo en Europa y USA no afectan en nada una economia en gran parte consumista que depende de las remesas...
4,2020-07-05,"a mi jefe sólo le importa el beneficio propio y llenarse la boca y los bolsillos a costa de proclamar q crea empleo y q la gente se lo agradece. un salvador d jóvenes indefensos q no vale nada q estudien la carrera, pq en su bar ""van a ganar más"""
5,2020-07-05,"@marenco @calles_virginia Por la desinformación que hay en el extranjero. 

Sólo se nutren de la propaganda del gobierno. 

Creen que El Salvador ya superó la violencia, la pobreza, el desempleo, etc. Qué ya somos de primer mundo🤦🏻‍♂️🤦🏻‍♂️🙄🙄"
6,2020-07-05,"El año pasado fui a El Salvador con mi antiguo brete a conocer un proyecto para puentes de empleo...

Fue de las mejores experiencias que he tenido a nivel laboral. https://t.co/i3XjaUwhVj"
7,2020-07-05,"En los países del primer mundo creo es aceptable pero x lados del quinto mundo es una pena como la ESTAMOS pasando, hambre,desempleo,violación derechos humanos, violencia intrafamiliar e infantil, garrote. INHUMANO, OJALA PONGAN LOS OJOS EN EL SALVADOR, Centro America. https://t.co/Se4PxS7wEE"
8,2020-07-04,"Si El Salvador antes era pobre y lleno de hambre, hoy es 10 veces peor.

Hoy más que nunca necesitamos empleo y empresas para salir adelante."
9,2020-07-04,"@Noalospoliticos @carmenstrual Llamados a oídos sordos. El periodismo en el Salvador está pagado porq a bien les sirven. Se cuentan con los dedos los periodistas con etica, Unos por no perder su empleo y otros por q quedar bien con sus jefes y el otro jefe💼"
10,2020-07-04,"@salvador_leon22 @dama_rosas @Andres_Salas87 @ramirogarciaf @MashiRafael El q nada debe nada teme, si Ud gano la beca x su capacidad y su IQ por qué se siente aludido?  Me imagino q su inteligencia le habrá dado un buen empleo, tal vez es funcionario público? O trabaja en la privada."
11,2020-07-04,"La Ciudadanía de la República de El Salvador merece ""Justicia"" para condenar al gob. dirigido por @nayibbukeleSv_ de :
- Genocidio, Nepotismo, Corrupción, Despilfarro, Incapacidad, Violencia a grupos Femeninistas, No Inclusión Social , Desempleo,etc.
El estado se ""En QUIEBRA "". https://t.co/IDsfKEHwef"
12,2020-07-03,"Si estamos hablando de la Ley de Zona Franca, estamos hablando de un fraude de TLC/CAFTA.
Entonces esto será un tema complejo para el empleo y exportación en El Salvador.

Un fraude a estos tratados es un delito grave ante La Ley Federal de Los Estados Unidos. https://t.co/zrhCqoKrIp"
13,2020-07-03,"El camino será largo y difícil, solo siendo responsables, capacitándonos, cumpliendo y perfeccionando protocolos saldremos adelante protegiendo salud y empleo.   https://t.co/T5cR2gyAMi"
14,2020-07-03,@alimontoya75 @FrancescaRivasA En 102 dias quebraron la economia?.. Son unos inservibles en USA la quebraron en 45 dias. Se perdieron 44 millones de empleos y el nivel de desempleo crecio de el 3.4% a 14.5%... y los Europeos aun mas rapido. Si El Salvador no huviese cerrado ni un momento estuviese igual o peor
15,2020-07-03,"#COVID19 | En El Salvador, la necesidad es siempre mayor que la capacidad de ayudar. Solo uno de cada cinco salvadoreños económicamente activos tiene un empleo formal. Los otros viven de lo que hacen cada día. Si no salen no comen. 
https://t.co/kRoyZpyDIk"
16,2020-07-03,"@Mjvillanueva74 @LaBlanquinegra El ingreso mínimo vital son las migajas con las que el Estado quiere erigirse en nuestro salvador. El Estado debería darnos los medios para pescar, llámese empleo, para que obtengamos el pescado por medio de nuestro esfuerzo."
17,2020-07-03,"@reuvenluna1 @fmartinmoreno Vamos en camino...

Revisa los números de crecimiento económico, inversión extranjera, desempleo y pobreza y verás que todavía no llegamos a Venezuela, pero ya vamos por El Salvador u Honduras"
18,2020-07-03,"https://t.co/TBJTY2cFGL vía @Eleconomistanet. La caída del empleo hace que el ""shock"" sea cuatro veces mayor al de 2009. El índice de pobreza retrocederá 22 años, a datos de 1997."
19,2020-07-02,"5. Ayer se publicó un informe que indica la pérdida de más de 60 mil empleos formales en los últimos tres meses, y el desempleo en El Salvador pasa de ser un 6.3% a un 14% de la Población Económicamente Activa. Este indicador debería ser inferior al 3% para estar bien. https://t.co/LN4BiJ5FkF"
20,2020-07-02,"Sufriremos 3 Pandemias: Sanitaria, Política y Social.
""Mas de la Mitad de la Población en Pobreza"", retroceso de 22 años.
Desempleo casi 14 % de PEA.

El Salvador en números rojos y con la mayor caída de C.A. https://t.co/M06sYn1s6U a través de @prensagrafica1 grafica grafica"
21,2020-07-02,Explicaron que se empieza a ver un impacto directo de la crisis sobre el empleo. Muchos establecimientos hoteleros en Tilcara y San Salvador cerraron en forma definitiva. https://t.co/bejNkCn80K
22,2020-07-02,"🇸🇻 #ElSalvador: unos 65,000 trabajadores se quedan sin empleo por la pandemia de #COVIDー19.

¿Cuáles son los sectores más afectados?

📌 el comercio 

📌 el turismo

📌 la construcción 

https://t.co/hfqqEXZpfa"
23,2020-07-02,"Hay 8 Ollas Comunitarias en Guatemala y 2 más en El Salvador, pero las donaciones han mermado considerablemente, mientras el desempleo y el hambre han incrementado, sin que el @GuatemalaGob @DrGiammattei implemente políticas efectivas para mitigar la crisis #GuatemalaTieneHambre https://t.co/YnBcoEUjfS"
24,2020-07-02,"@prensagrafica No sólo aquí señores, no lo hagan ver cómo si solo El Salvador está pasando la crisis del desempleo. Es mundial el problema y es a consecuencia de la pandemia."
25,2020-07-02,"#En_Redes | El Salvador en números rojos y con la mayor caída de C.A. La caída del empleo hace que el ""shock"" sea cuatro veces mayor al de 2009. El índice de pobreza retrocederá 22 años, a datos de 1997.

https://t.co/paWIiebsM0 https://t.co/IKX0PzaTOh"
26,2020-07-02,"@aqui_no_porfa @EEPO1980 @CarmenElenaAFC Nada de malo, pero tambien tenes que ser realista estamos en El Salvador, puedo tener muy altas aspiraciones, tener mi carrera universitaria, maestrias, pero si no hay fuentes de empleo o una oportunidad que llene mis expectativas, mientras tanto que? Aguantare hambre? Y esperar?"
27,2020-07-02,1 plaza de Auxiliar de Biblioteca en el Ayuntamiento de Sant Salvador de Guardiola (Barcelona). Oferta de Empleo Público  https://t.co/OygDrmh0eB https://t.co/FVWAnCGYmO
28,2020-07-01,"@JaviSiman No solo en el país a bajado todo, incluso en los países más poderosos como Estados Unidos a vido desempleo y a bajado la economía esto es a nivel mundial siman deje criticar tanto al gobierno de el salvador mejor pague los impuestos que a evadido"
29,2020-07-01,"@FelipeCalderon Crece el desabasto de medicinas , crece el contrato de medicos cubanos mejor pagados que los nuestros, crece el desempleo, no falta mucho para estar peor que Venezuela , y #lopezhablador se da el lujo de regalar mas dinero a Guatemala y el Salvador."
30,2020-07-01,"Se critica la mentira, el Cinismo, se critica que nos quieran ver la cara de Pendejos, los que vivimos en El Salvador somos los que día a día nos golpea la crisis, sin empleo, Canasta Basica por las nubes, etc, etc. Los que están fuera de las fronteras sólo tienen trompa! https://t.co/wCuzCSObip"
31,2020-07-01,"@JaviSiman El salvador tiene tiempos de estar mal así que no se venga a dar golpes de pecho o de sufrido
-El desempleo desde hace 30 años estamos mal deje de tanta paja viejo pelón y usted sabe más que nadie con sus empresas explotando al  trabajador así que mejor silencio 🖕🖕👊👊🤬🤬🤬"
32,2020-07-01,@JaviSiman Porque el Salvador ha sido saqueado por los millonarios como tú y por los gobiernos corruptos en el pasado que llegaron sólo a robar nomás Por eso hay mucha pobreza y mucho desempleo en esas tasas tabora hasta ahorita han visto que pobreza y desempleo más antes porque no vieron
33,2020-07-01,@JaviSiman Yo más creo que todo lo que tú estás diciendo eso mentiras porque pobres ha habido mucho siempre el Salvador todo el tiempo vivo pobreza desempleos también hasta ahora que hay desempleo y pobreza
34,2020-07-01,"@JaviSiman Su papel en esta novela ha abonado al desempleo, al hambre, a la pobreza, a la corrupción... 
No se sienta libre de pecado, ni minimice su participación! 

No meta a Dios en esto y no crea que su problema es con el ejecutivo.

Su problema es con El Salvador. No vamos a olvidarlo."
35,2020-07-01,"#empleo se reduce, en #ElSalvador , pero el @TrabajoSV ha iniciado reuniones con empresarios que han sido denunciados, la idea es llegar a un acuerdo para recuperar los empleos perdidos. 
ND Noticias - Nacion Digital Noticias El Salvador https://t.co/C3CEMGsBmU https://t.co/Dddl0y2r8f"
36,2020-07-01,"@nayibbukele @FranAlabi tengo una duda, porque no ha abierto el hospital de CIFCO si había varias camas a la disposición y equipo? en varia publicaciones dicen que ni médicos tienen y hay muchos profesionales de la salud que no tienen empleo en EL salvador"
37,2020-07-01,"@JaviSiman Gracias a @JaviSiman hay aumento de los enfermos, el desempleo, el hambre, la pobreza, la corrupción, bajan las remesas, bajan las exportaciones. El Salvador no los necesita a ustedes. No hable de Dios por qué le va a ir muy mal. Saludos DELINCUENTE"
38,2020-07-01,El desempleo el hambre la corrupcion es exactamente lo que tiene a El Salvador asi desde hace mas de 30 años gracias a delincuentes como usted @ARENAOFICIAL y @FMLNoficial @rodolfo_parker @marioponcesv porque han sido mas de 300 Salvadoreños diarios que se han ido en esos años? https://t.co/nvjjhHLycV
39,2020-07-01,"🇸🇻 EL SALVADOR 🇸🇻
Covid-19: más de 65.000 empleos perdidos por crisis.
https://t.co/uremhuV8xW
#Coronavirus #Economia #Empleo"
40,2020-07-01,"MinTrabajo Colombia Ángel Custodio Cabrera, con la cifra de desempleo de mayo/2020 (21,4%) -el doble de la de 2019-, se da cuenta de su ""hazaña"" de acorralar a las Empresas ?
Como se le advirtió, su labor era cuidar las Fuentes de Empleo, no su imagen de ""salvador obtuso""."
41,2020-07-01,"El desempleo no es exclusívo de El Salvador.

El norte llegó a 43 millones de desempleados causados por el covid19.
Relájese. Eso todos los paises lo están sufriendo.
¿Los enfermos aumentan y es culpa del gobierno?.
¿Bajan las remesas? ¿En serio es culpa del gobierno?

AY JAVI 🤦‍♂️ https://t.co/fNFG1lhxNj"
42,2020-07-01,"El Salvador | El empleo formal cayó a niveles de 2015. 

https://t.co/Dz1F2fQgML"
43,2020-07-01,"@JaviSiman Bajan las remesas por culpa del coronavirus en El Salvador, es una pandemia viejo tonto, todos los países están haciendo lo humanamente posible para sobrevivir, en las potencias mundiales hay más desempleo mucho menos en El Salvador donde los corruptos evaden impuestos."
44,2020-07-01,"Aumentan los enfermos, el desempleo, el hambre, la pobreza, la corrupción, bajan las remesas, bajan las exportaciones, baja la popularidad,....pero el deporte nacional es pelearse con todos por twitter!🤦🏼‍♂️  Piense más en grande. El Salvador nos necesita a todos. Dios los ilumine🙏🏻"
45,2020-07-01,"Me dueles El Salvador, se han perdido del sector formal  65,000 empleo. https://t.co/X7NWFKNbwQ"
46,2020-07-01,"@Lvis_H_Gonzalez @abrahamendieta Muchas gracias pero yo no quiero ese cambio, el cambio que genera desempleo, una economía en declive, sector salud más destrozado, niños con cáncer sin medicamentos, donde se le regala nuestro dinero a países como El Salvador y Honduras, más delincuencia, muchas gracias."
